D,E,F
180,213.56,0.0
180,213.51,0.0
180,213.57,0.0
199.97,213.59,-9.03
199.65,213.61,-9.26
198.2,213.95,-10.44
195.73,213.8,-11.98
192.36,213.72,-14.17
188.29,213.63,-16.81
183.75,213.59,-19.79
179,213.48,-22.87
174.3,212.85,-25.57
169.93,210.51,-26.91
166.13,206.63,-26.86
163.11,201.9,-25.72
161.06,196.17,-23.29
160.08,189.92,-19.79
160.23,183.22,-15.25
161.5,176.74,-10.11
163.82,172.29,-5.64
167.06,169.92,-1.93
171.03,166.69,2.86
175.51,164.14,7.52
180.25,162.78,11.57
184.97,161.9,15.29
189.41,161.5,18.49
193.32,161.29,21.22
196.47,159.83,24.28
198.69,159.05,26.27
199.84,159.61,26.66
199.87,162.34,24.87
198.77,165.23,22.23
196.61,168.49,18.63
193.51,174.17,12.81
189.64,182.69,4.61
185.22,187.98,-1.84
180.5,194.45,-9.26
175.76,199.5,-15.75
171.26,203.3,-21.26
167.25,205.53,-25.4
163.97,206.68,-28.34
161.6,207.34,-30.35
160.27,207.57,-31.38
160.06,207.65,-31.57
160.98,205.06,-29.25
162.98,200.4,-24.83
165.95,193.45,-18.25
169.71,187.07,-11.52
174.06,180.31,-4.17
178.74,174.65,2.7
183.5,171.18,8.16
188.06,169.33,12.41
192.16,168.13,15.92
195.57,167.54,18.58
198.1,167.14,20.52
199.6,166.93,21.66
199.99,166.4,22.26
199.24,168.58,20.32
197.4,169.91,18.22
194.58,172.59,14.57
190.93,177.05,9.19
186.66,183.33,2.2
182.01,188.23,-4.15
177.24,191.59,-9.54
172.64,196.01,-15.52
168.45,198.69,-20.08
164.91,200.24,-23.45
162.24,200.99,-25.72
160.57,201.43,-27.12
160,201.75,-27.71
160.57,199.87,-26.09
162.24,195.79,-22.27
164.91,190.21,-16.8
168.45,183.5,-10.0
172.64,177.58,-3.31
177.24,173.19,2.66
182.01,170.81,7.4
186.66,168.39,12.09
190.93,166.45,16.21
194.58,165.33,19.38
197.4,164.73,21.65
199.24,164.37,23.1
199.99,164.13,23.75
199.6,162.82,24.37
198.1,164.09,22.53
195.57,166.61,19.18
192.16,169.47,15.02
188.06,176.05,7.94
183.5,183.69,-0.15
178.74,188.31,-6.37
174.06,193.93,-13.2
169.71,198.48,-19.11
165.95,201.4,-23.54
162.98,203.09,-26.62
160.98,203.9,-28.49
160.06,204.42,-29.45
160.27,204.53,-29.38
161.6,201.6,-26.56
163.97,197.28,-22.12
167.25,191.05,-15.81
171.26,183.94,-8.44
175.76,177.94,-1.48
180.5,174.04,4.27
185.22,171.59,9.02
189.64,170.57,12.63
193.51,169.99,15.59
196.61,169.35,18.07
198.77,169.01,19.73
199.87,168.66,20.69
199.84,168.06,21.06
198.69,168.81,19.8
196.47,171.92,16.27
193.32,174.97,12.16
189.41,182.96,4.29
184.97,187.91,-1.95
180.25,191.79,-7.66
175.51,197.38,-14.51
171.03,201.02,-19.89
167.06,203.42,-24.12
163.82,204.65,-27.08
161.5,205.27,-29.03
160.23,205.64,-30.12
160.08,205.47,-30.11
161.06,202.75,-27.66
163.11,198.48,-23.46
166.13,191.76,-17.01
169.93,184.86,-9.91
174.3,178.35,-2.7
179,174.18,3.19
183.75,171.54,8.09
188.29,169.4,12.53
192.36,167.76,16.31
195.73,166.85,19.15
198.2,166.2,21.23
199.65,165.4,22.71
199.97,165.3,23.0
199.17,165.29,22.47
197.28,169.34,18.53
194.41,173.35,13.96
190.72,177.79,8.58
186.42,183.19,2.15
181.76,188.16,-4.26
177,191.39,-9.55
172.4,195.2,-15.13
168.24,197.77,-19.59
164.75,199.22,-22.87
162.12,199.95,-25.1
160.51,200.34,-26.43
160,200.47,-26.85
160.63,198.73,-25.28
162.35,194.98,-21.65
165.08,189.24,-16.03
168.65,182.78,-9.38
172.87,176.74,-2.59
177.49,172.71,3.17
182.26,170.47,7.81
186.89,168.78,12.0
191.14,167.84,15.44
194.75,167.34,18.17
197.53,166.67,20.46
199.31,166.75,21.58
199.99,166.27,22.36
199.55,166.67,21.8
197.99,169.34,18.99
195.41,172.36,15.28
191.96,176.56,10.2
187.83,182.45,3.57
183.25,187.73,-2.97
178.49,191.2,-8.43
173.82,195.63,-14.47
169.5,198.74,-19.4
165.77,200.47,-23.02
162.85,201.36,-25.55
160.9,201.79,-27.12
160.04,202.06,-27.88
160.31,201.39,-27.25
161.7,198.32,-24.3
164.12,192.26,-18.66
167.45,186.39,-12.57
171.48,179.95,-5.64
176.01,175.07,0.59
180.75,171.44,6.15
185.46,169.3,10.69
189.85,168.16,14.36
193.69,167.47,17.36
196.75,167.1,19.64
198.86,166.95,21.14
199.9,166.33,22.24
199.81,167.11,21.66
198.6,169.0,19.6
196.33,171.82,16.23
193.13,176.27,11.16
189.19,182.54,4.4
184.73,188.18,-2.31
180,191.89,-7.9
175.27,196.74,-14.26
170.81,200.52,-19.72
166.87,202.65,-23.75
163.67,203.79,-26.63
161.4,204.4,-28.53
160.19,204.56,-29.45
160.1,204.24,-29.29
161.14,201.81,-26.99
163.25,197.36,-22.64
166.31,191.0,-16.39
170.15,184.25,-9.37
174.54,178.06,-2.36
179.25,173.45,3.83
183.99,170.91,8.67
188.52,169.1,12.87
192.55,168.22,16.13
195.88,167.71,18.68
198.3,167.8,20.22
199.69,167.4,21.4
199.96,167.23,21.7
199.1,167.88,20.7
197.15,169.33,18.44
194.23,172.73,14.25
190.5,179.71,7.15
186.18,186.06,0.07
181.51,190.22,-5.79
176.75,195.32,-12.33
172.17,199.72,-18.28
168.04,202.27,-22.71
164.59,203.59,-25.88
162.01,204.33,-28.08
160.45,204.65,-29.32
160.01,203.63,-28.94
160.69,199.76,-25.92
162.47,193.72,-20.73
165.25,187.79,-14.96
168.86,180.73,-7.88
173.11,175.45,-1.57
177.74,171.97,3.83
182.51,169.55,8.6
187.13,167.59,12.95
191.35,165.9,16.88
194.92,165.16,19.74
197.65,164.8,21.78
199.37,164.65,23.03
200,164.29,23.68
199.49,163.44,23.91
197.88,164.54,22.11
195.25,166.81,18.86
191.76,169.46,14.79
187.6,173.66,9.24
183,182.38,0.42
178.24,187.56,-6.18
173.58,191.73,-12.03
169.28,196.65,-18.15
165.59,199.98,-22.8
162.72,201.75,-25.88
160.83,202.7,-27.77
160.03,203.2,-28.64
160.35,203.23,-28.43
161.8,200.04,-25.36
164.27,195.1,-20.44
167.64,189.18,-14.29
171.71,182.17,-6.94
176.25,176.59,-0.22
181.01,172.87,5.42
185.7,170.06,10.39
190.07,168.03,14.64
